	duplicated	uf	coduf	codmun	name	população
57	True	PB	25	502	Alagoinha	14.629
58	True	PE	26	609	Alagoinha	14.798
107	True	RS	43	554	Alto Alegre	1.59
108	True	RR	14	50	Alto Alegre	15.249
109	True	SP	35	1103	Alto Alegre	4.078
124	True	PR	41	28625	Alto Paraíso	2.63
125	True	RO	11	00403	Alto Paraíso	22.258
141	True	TO	17	707	Alvorada	8.381
142	True	RS	43	604	Alvorada	212.352
166	True	PB	25	734	Amparo	2.264
167	True	SP	35	1905	Amparo	73.145
188	True	ES	32	409	Anchieta	30.285
189	True	SC	42	804	Anchieta	5.477
221	True	SC	42	1208	Antônio Carlos	8.712
222	True	MG	31	2902	Antônio Carlos	11.471
232	True	PB	25	775	Aparecida	8.482
233	True	SP	35	2507	Aparecida	36.211
269	True	MA	21	873	Araguanã	15.675
270	True	TO	17	2158	Araguanã	5.856
305	True	PR	41	1705	Araruna	14.029
306	True	PB	25	1005	Araruna	20.61
332	True	SE	28	506	Areia Branca	18.825
333	True	RN	24	1107	Areia Branca	28.156
380	True	AL	27	409	Atalaia	47.54
381	True	PR	41	2208	Atalaia	3.871
394	True	CE	23	1703	Aurora	24.567
395	True	SC	42	1901	Aurora	5.687
444	True	PR	41	2406	Bandeirantes	31.061
445	True	MS	50	1508	Bandeirantes	7.281
449	True	RN	24	1453	Baraúna	29.112
450	True	PB	25	1534	Baraúna	5.033
460	True	SC	42	2099	Barra Bonita	1.625
461	True	SP	35	5302	Barra Bonita	36.125
473	True	AL	27	607	Barra de São Miguel	8.434
474	True	PB	25	1708	Barra de São Miguel	6.095
491	True	PR	41	2604	Barracão	10.347
492	True	RS	43	1800	Barracão	5.237
503	True	GO	52	3203	Barro Alto	11.643
504	True	BA	29	3235	Barro Alto	15.171
523	True	PI	22	1507	Batalha	26.951
524	True	AL	27	706	Batalha	18.44
545	True	SC	42	2156	Belmonte	2.712
546	True	BA	29	3409	Belmonte	23.54
555	True	PB	25	1906	Belém	17.733
556	True	AL	27	805	Belém	4.226
557	True	PA	15	1402	Belém	1.506.420
596	True	MG	31	7109	Boa Esperança	40.308
597	True	PR	41	3008	Boa Esperança	3.991
598	True	ES	32	1001	Boa Esperança	15.146
606	True	RR	14	100	Boa Vista	436.591
607	True	PB	25	2151	Boa Vista	7.218
619	True	SP	35	6805	Bocaina	12.571
620	True	PI	22	1804	Bocaina	4.509
632	True	PE	26	2209	Bom Jardim	40.038
633	True	MA	21	2002	Bom Jardim	42.01
634	True	RJ	33	506	Bom Jardim	27.779
638	True	PB	25	2201	Bom Jesus	2.588
639	True	PI	22	1903	Bom Jesus	25.584
640	True	RN	24	1701	Bom Jesus	10.323
641	True	RS	43	2303	Bom Jesus	11.27
642	True	SC	42	2537	Bom Jesus	3.104
665	True	PR	41	3206	Bom Sucesso	7.103
666	True	PB	25	2300	Bom Sucesso	4.937
667	True	MG	31	8008	Bom Sucesso	17.612
671	True	MG	31	8107	Bonfim	6.852
672	True	RR	14	159	Bonfim	12.701
677	True	PE	26	2308	Bonito	38.101
678	True	MS	50	2209	Bonito	22.401
679	True	BA	29	4050	Bonito	16.999
680	True	PA	15	1600	Bonito	16.769
691	True	SP	35	7407	Borborema	16.278
692	True	PB	25	2706	Borborema	5.311
726	True	RN	24	1800	Brejinho	12.873
727	True	PE	26	2506	Brejinho	7.489
774	True	RO	11	00452	Buritis	41.043
775	True	MG	31	9303	Buritis	25.179
802	True	GO	52	4250	Cachoeira Dourada	7.997
803	True	MG	31	9808	Cachoeira Dourada	2.72
815	True	TO	17	3826	Cachoeirinha	2.293
816	True	RS	43	3103	Cachoeirinha	132.144
817	True	PE	26	3108	Cachoeirinha	20.618
834	True	PR	41	3453	Cafelândia	18.783
835	True	SP	35	8801	Cafelândia	17.917
846	True	PB	25	3605	Caiçara	7.182
847	True	RS	43	3400	Caiçara	4.659
896	True	MG	31	11002	Campestre	21.052
897	True	AL	27	1357	Campestre	6.972
914	True	SC	42	3303	Campo Alegre	11.985
915	True	AL	27	1407	Campo Alegre	57.997
927	True	RN	24	1305	Campo Grande	9.686
928	True	MS	50	2704	Campo Grande	916.001
929	True	AL	27	1506	Campo Grande	9.576
963	True	BA	29	6204	Canarana	26.468
964	True	MT	51	2702	Canarana	22.101
971	True	MG	31	12000	Candeias	14.89
972	True	BA	29	6501	Candeias	87.82
990	True	PR	41	4451	Cantagalo	13.34
991	True	MG	31	12059	Cantagalo	4.575
992	True	RJ	33	1108	Cantagalo	20.163
999	True	BA	29	6105	Canápolis	9.694
1000	True	MG	31	11804	Canápolis	12.251
1001	True	PA	15	2202	Capanema	69.828
1002	True	PR	41	4501	Capanema	19.172
1004	True	AL	27	1704	Capela	16.907
1005	True	SE	28	1306	Capela	34.808
1040	True	MS	50	2803	Caracol	6.247
1041	True	PI	22	2505	Caracol	11.009
1056	True	RN	24	2303	Caraúbas	20.588
1057	True	PB	25	4074	Caraúbas	4.206
1114	True	PR	41	4808	Cascavel	336.073
1115	True	CE	23	3501	Cascavel	72.706
1134	True	SC	42	4004	Catanduvas	11.106
1135	True	PR	41	5003	Catanduvas	10.144
1165	True	SP	35	11300	Cedral	9.452
1166	True	MA	21	3109	Cedral	10.711
1167	True	CE	23	3808	Cedro	25.612
1168	True	PE	26	4304	Cedro	11.972
